DBN,RH School,BN,CEP URL,Total Enrollment,Num Female,Num Black,Num Hispanic
02M183,n,M183,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M183.pdf,554,269,15,47
02M198,n,M198,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M198.pdf,488,249,51,104
02M212,n,M212,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M212.pdf,363,189,25,85
02M217,n,M217,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M217.pdf,617,317,83,88
02M225,n,M225,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M225.pdf,324,156,49,99
02M234,n,M234,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M234.pdf,638,313,11,56
02M255,n,M255,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M255.pdf,394,230,8,38
02M260,n,M260,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M260.pdf,726,494,29,90
02M267,n,M267,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M267.pdf,414,204,4,43
02M276,n,M276,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M276.pdf,849,402,34,116
02M280,n,M280,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M280.pdf,416,222,150,187
02M281,n,M281,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M281.pdf,338,167,31,42
02M282,n,M282,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M282.pdf,390,118,107,192
02M288,n,M288,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M288.pdf,375,216,130,199
02M289,n,M289,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M289.pdf,284,125,12,42
02M290,n,M290,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M290.pdf,595,329,17,56
02M294,n,M294,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M294.pdf,339,191,117,145
02M296,n,M296,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M296.pdf,380,252,105,236
02M297,n,M297,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M297.pdf,561,289,53,129
02M298,n,M298,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M298.pdf,572,324,191,310
02M300,n,M300,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M300.pdf,302,90,69,205
02M303,n,M303,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M303.pdf,372,174,95,260
02M305,n,M305,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M305.pdf,324,189,109,183
02M308,n,M308,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M308.pdf,290,188,80,162
02M312,n,M312,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M312.pdf,563,251,7,30
02M313,n,M313,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M313.pdf,245,122,98,128
02M316,n,M316,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M316.pdf,179,179,88,66
02M340,n,M340,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M340.pdf,339,165,8,39
02M343,n,M343,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M343.pdf,468,251,19,60
02M347,n,M347,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M347.pdf,193,100,41,85
02M374,n,M374,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M374.pdf,468,331,157,232
02M376,n,M376,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M376.pdf,466,252,69,99
02M391,n,M391,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M391.pdf,465,227,25,53
02M392,n,M392,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M392.pdf,414,189,92,269
02M393,n,M393,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M393.pdf,429,158,141,263
02M394,n,M394,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M394.pdf,315,140,55,97
02M397,n,M397,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M397.pdf,560,274,22,89
02M399,n,M399,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M399.pdf,302,164,70,138
02M400,n,M400,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M400.pdf,1146,580,180,735
02M407,n,M407,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M407.pdf,486,242,108,93
02M408,n,M408,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M408.pdf,558,402,116,114
02M411,n,M411,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M411.pdf,475,265,17,63
02M412,n,M412,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M412.pdf,471,246,17,58
02M413,n,M413,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M413.pdf,749,365,84,181
02M414,n,M414,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M414.pdf,449,260,58,160
02M416,n,M416,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M416.pdf,530,317,14,53
02M418,n,M418,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M418.pdf,681,422,26,75
02M419,n,M419,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M419.pdf,330,176,110,195
02M420,n,M420,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M420.pdf,1825,1293,287,962
02M422,n,M422,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M422.pdf,545,206,118,235
02M425,n,M425,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M425.pdf,473,254,127,279
02M427,n,M427,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M427.pdf,233,108,5,221
02M432,n,M432,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M432.pdf,304,157,93,161
02M437,n,M437,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M437.pdf,476,155,120,300
02M438,n,M438,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M438.pdf,356,138,70,192
02M439,n,M439,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M439.pdf,452,272,64,287
02M442,n,M442,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M442.pdf,142,74,25,35
02M449,n,M449,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M449.pdf,427,220,107,249
02M459,n,M459,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M459.pdf,313,141,47,159
02M475,n,M475,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M475.pdf,3316,1415,29,100
02M489,n,M489,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M489.pdf,741,308,181,326
02M500,n,M500,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M500.pdf,278,88,70,168
02M507,n,M507,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M507.pdf,456,90,130,245
02M519,n,M519,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M519.pdf,518,408,152,224
02M520,n,M520,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M520.pdf,182,99,92,73
02M527,n,M527,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M527.pdf,431,219,17,61
02M529,n,M529,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M529.pdf,443,240,105,289
02M531,n,M531,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M531.pdf,237,192,68,107
02M533,n,M533,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M533.pdf,414,275,83,247
02M534,n,M534,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M534.pdf,457,268,96,228
02M542,n,M542,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M542.pdf,532,280,2,526
02M543,n,M543,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M543.pdf,426,251,145,245
02M544,n,M544,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M544.pdf,319,164,94,200
02M545,n,M545,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M545.pdf,402,239,9,14
02M546,n,M546,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M546.pdf,459,90,93,256
